id;title;description;creation_date;status
1;unlike although outside;anguished kissingly;2024-07-09T12:39:34;IN_PROGRESS
2;decade;lest chub;2024-07-09T07:41:19;IN_PROGRESS
3;hmph how yuck;mmm procedure;2024-07-09T05:03:41;IN_PROGRESS
4;peer;apropos joshingly intrepid;2024-07-09T15:38:52;NEW
5;oof yet duh;item curriculum;2024-07-09T20:56:14;IN_PROGRESS
6;jam-packed mid;fillet far poster;2024-07-09T15:22:45;NEW
7;true;honored inside;2024-07-09T06:40:47;NEW
8;woeful politely;joyous face for;2024-07-09T18:43:30;COMPLETED
9;fry;underneath;2024-07-09T14:52:27;COMPLETED
10;resell um;guide;2024-07-09T21:46:47;IN_PROGRESS
